Country,País,Year,Sector,%GDP,ISO3
Portugal,Portugal,2023,All Sectors,1.69,PRT
Romania,Rumanía,2023,All Sectors,0.52,ROU
Slovenia,Eslovenia,2023,All Sectors,2.13,SVN
Slovakia,Eslovaquia,2023,All Sectors,1.04,SVK
Finland,Finlandia,2023,All Sectors,3.09,FIN
Sweden,Suecia,2023,All Sectors,3.57,SWE
Iceland,Islandia,2023,All Sectors,2.53,ISL
Norway,Noruega,2023,All Sectors,1.84,NOR
Serbia,Serbia,2023,All Sectors,0.88,SRB
European Union - 27 countries (from 2020),Unión Europea (27 países),2012,Business enterprise sector,1.31,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2012,Business enterprise sector,1.32,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2012,Business enterprise sector,1.33,EMU
Belgium,Bélgica,2012,Business enterprise sector,1.59,BEL
Bulgaria,Bulgaria,2012,Business enterprise sector,0.36,BGR
Czechia,Chequia,2012,Business enterprise sector,0.93,CZE
Denmark,Dinamarca,2012,Business enterprise sector,1.96,DNK
Germany,Alemania,2012,Business enterprise sector,1.92,DEU
Estonia,Estonia,2012,Business enterprise sector,1.21,EST
Ireland,Irlanda,2012,Business enterprise sector,1.11,IRL
Greece,Grecia,2012,Business enterprise sector,0.25,GRC
Spain,España,2012,Business enterprise sector,0.68,ESP
France,Francia,2012,Business enterprise sector,1.44,FRA
Croatia,Croacia,2012,Business enterprise sector,0.34,HRV
Italy,Italia,2012,Business enterprise sector,0.68,ITA
Cyprus,Chipre,2012,Business enterprise sector,0.07,CYP
Latvia,Letonia,2012,Business enterprise sector,0.16,LVA
Lithuania,Lituania,2012,Business enterprise sector,0.24,LTU
Luxembourg,Luxemburgo,2012,Business enterprise sector,0.67,LUX
Hungary,Hungría,2012,Business enterprise sector,0.83,HUN
Malta,Malta,2012,Business enterprise sector,0.46,MLT
Netherlands,Países Bajos,2012,Business enterprise sector,1.08,NLD
Austria,Austria,2012,Business enterprise sector,2.07,AUT
Poland,Polonia,2012,Business enterprise sector,0.33,POL
Portugal,Portugal,2012,Business enterprise sector,0.68,PRT
Romania,Rumanía,2012,Business enterprise sector,0.18,ROU
Slovenia,Eslovenia,2012,Business enterprise sector,1.96,SVN
Slovakia,Eslovaquia,2012,Business enterprise sector,0.33,SVK
Finland,Finlandia,2012,Business enterprise sector,2.34,FIN
Sweden,Suecia,2012,Business enterprise sector,2.2,SWE
Norway,Noruega,2012,Business enterprise sector,0.84,NOR
Switzerland,Suiza,2012,Business enterprise sector,1.99,CHE
United Kingdom,Reino Unido,2012,Business enterprise sector,1.0,GBR
Bosnia and Herzegovina,Bosnia y Herzegovina,2012,Business enterprise sector,0.16,BIH
Serbia,Serbia,2012,Business enterprise sector,0.2,SRB
Türkiye,Turquía,2012,Business enterprise sector,0.37,TUR
Russia,Rusia,2012,Business enterprise sector,0.6,RUS
United States,Estados Unidos,2012,Business enterprise sector,1.86,USA
China except Hong Kong,China (excepto Hong Kong),2012,Business enterprise sector,1.46,CHN
Japan,Japón,2012,Business enterprise sector,2.43,JPN
South Korea,Corea del Sur,2012,Business enterprise sector,2.87,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2013,Business enterprise sector,1.33,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2013,Business enterprise sector,1.34,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2013,Business enterprise sector,1.35,EMU
Belgium,Bélgica,2013,Business enterprise sector,1.61,BEL
Bulgaria,Bulgaria,2013,Business enterprise sector,0.39,BGR
Czechia,Chequia,2013,Business enterprise sector,1.0,CZE
Denmark,Dinamarca,2013,Business enterprise sector,1.88,DNK
Germany,Alemania,2013,Business enterprise sector,1.87,DEU
Estonia,Estonia,2013,Business enterprise sector,0.81,EST
Ireland,Irlanda,2013,Business enterprise sector,1.1,IRL
Greece,Grecia,2013,Business enterprise sector,0.27,GRC
Spain,España,2013,Business enterprise sector,0.67,ESP
France,Francia,2013,Business enterprise sector,1.44,FRA
Croatia,Croacia,2013,Business enterprise sector,0.4,HRV
Italy,Italia,2013,Business enterprise sector,0.71,ITA
Cyprus,Chipre,2013,Business enterprise sector,0.09,CYP
Latvia,Letonia,2013,Business enterprise sector,0.18,LVA
Lithuania,Lituania,2013,Business enterprise sector,0.24,LTU
Luxembourg,Luxemburgo,2013,Business enterprise sector,0.65,LUX
Hungary,Hungría,2013,Business enterprise sector,0.96,HUN
Malta,Malta,2013,Business enterprise sector,0.38,MLT
Netherlands,Países Bajos,2013,Business enterprise sector,1.4,NLD
Austria,Austria,2013,Business enterprise sector,2.11,AUT
Poland,Polonia,2013,Business enterprise sector,0.38,POL
Portugal,Portugal,2013,Business enterprise sector,0.63,PRT
Romania,Rumanía,2013,Business enterprise sector,0.12,ROU
Slovenia,Eslovenia,2013,Business enterprise sector,1.99,SVN
Slovakia,Eslovaquia,2013,Business enterprise sector,0.38,SVK
Finland,Finlandia,2013,Business enterprise sector,2.26,FIN
Sweden,Suecia,2013,Business enterprise sector,2.26,SWE
Iceland,Islandia,2013,Business enterprise sector,0.95,ISL
Norway,Noruega,2013,Business enterprise sector,0.86,NOR
United Kingdom,Reino Unido,2013,Business enterprise sector,1.04,GBR
Bosnia and Herzegovina,Bosnia y Herzegovina,2013,Business enterprise sector,0.19,BIH
Montenegro,Montenegro,2013,Business enterprise sector,0.18,MNE
Serbia,Serbia,2013,Business enterprise sector,0.09,SRB
Türkiye,Turquía,2013,Business enterprise sector,0.39,TUR
Russia,Rusia,2013,Business enterprise sector,0.62,RUS
United States,Estados Unidos,2013,Business enterprise sector,1.91,USA
China except Hong Kong,China (excepto Hong Kong),2013,Business enterprise sector,1.53,CHN
Japan,Japón,2013,Business enterprise sector,2.49,JPN
South Korea,Corea del Sur,2013,Business enterprise sector,2.96,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2014,Business enterprise sector,1.34,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2014,Business enterprise sector,1.36,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2014,Business enterprise sector,1.37,EMU
Belgium,Bélgica,2014,Business enterprise sector,1.65,BEL
Bulgaria,Bulgaria,2014,Business enterprise sector,0.52,BGR
Czechia,Chequia,2014,Business enterprise sector,1.07,CZE
Denmark,Dinamarca,2014,Business enterprise sector,1.86,DNK
Germany,Alemania,2014,Business enterprise sector,1.91,DEU
Estonia,Estonia,2014,Business enterprise sector,0.61,EST
Ireland,Irlanda,2014,Business enterprise sector,1.05,IRL
Greece,Grecia,2014,Business enterprise sector,0.29,GRC
Spain,España,2014,Business enterprise sector,0.65,ESP
France,Francia,2014,Business enterprise sector,1.45,FRA
Croatia,Croacia,2014,Business enterprise sector,0.37,HRV
Italy,Italia,2014,Business enterprise sector,0.75,ITA
Cyprus,Chipre,2014,Business enterprise sector,0.11,CYP
Latvia,Letonia,2014,Business enterprise sector,0.25,LVA
Lithuania,Lituania,2014,Business enterprise sector,0.32,LTU
Luxembourg,Luxemburgo,2014,Business enterprise sector,0.64,LUX
Hungary,Hungría,2014,Business enterprise sector,0.96,HUN
Malta,Malta,2014,Business enterprise sector,0.37,MLT
Netherlands,Países Bajos,2014,Business enterprise sector,1.39,NLD
Austria,Austria,2014,Business enterprise sector,2.22,AUT
Poland,Polonia,2014,Business enterprise sector,0.44,POL
Portugal,Portugal,2014,Business enterprise sector,0.6,PRT
Romania,Rumanía,2014,Business enterprise sector,0.16,ROU
Slovenia,Eslovenia,2014,Business enterprise sector,1.85,SVN
Slovakia,Eslovaquia,2014,Business enterprise sector,0.32,SVK
Finland,Finlandia,2014,Business enterprise sector,2.14,FIN
Sweden,Suecia,2014,Business enterprise sector,2.09,SWE
Iceland,Islandia,2014,Business enterprise sector,1.18,ISL
Norway,Noruega,2014,Business enterprise sector,0.92,NOR
United Kingdom,Reino Unido,2014,Business enterprise sector,1.07,GBR
Bosnia and Herzegovina,Bosnia y Herzegovina,2014,Business enterprise sector,0.05,BIH
Montenegro,Montenegro,2014,Business enterprise sector,0.14,MNE
Serbia,Serbia,2014,Business enterprise sector,0.21,SRB
Türkiye,Turquía,2014,Business enterprise sector,0.43,TUR
Russia,Rusia,2014,Business enterprise sector,0.64,RUS
United States,Estados Unidos,2014,Business enterprise sector,1.94,USA
China except Hong Kong,China (excepto Hong Kong),2014,Business enterprise sector,1.56,CHN
Japan,Japón,2014,Business enterprise sector,2.62,JPN
South Korea,Corea del Sur,2014,Business enterprise sector,3.04,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2015,Business enterprise sector,1.36,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2015,Business enterprise sector,1.37,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2015,Business enterprise sector,1.38,EMU
Belgium,Bélgica,2015,Business enterprise sector,1.7,BEL
Bulgaria,Bulgaria,2015,Business enterprise sector,0.7,BGR
Czechia,Chequia,2015,Business enterprise sector,1.04,CZE
Denmark,Dinamarca,2015,Business enterprise sector,1.94,DNK
Germany,Alemania,2015,Business enterprise sector,1.98,DEU
Estonia,Estonia,2015,Business enterprise sector,0.66,EST
Ireland,Irlanda,2015,Business enterprise sector,0.82,IRL
Greece,Grecia,2015,Business enterprise sector,0.32,GRC
Spain,España,2015,Business enterprise sector,0.64,ESP
France,Francia,2015,Business enterprise sector,1.44,FRA
Croatia,Croacia,2015,Business enterprise sector,0.42,HRV
Italy,Italia,2015,Business enterprise sector,0.77,ITA
Cyprus,Chipre,2015,Business enterprise sector,0.11,CYP
Latvia,Letonia,2015,Business enterprise sector,0.16,LVA
Lithuania,Lituania,2015,Business enterprise sector,0.29,LTU
Luxembourg,Luxemburgo,2015,Business enterprise sector,0.66,LUX
Hungary,Hungría,2015,Business enterprise sector,0.98,HUN
Malta,Malta,2015,Business enterprise sector,0.36,MLT
Netherlands,Países Bajos,2015,Business enterprise sector,1.36,NLD
Austria,Austria,2015,Business enterprise sector,2.19,AUT
Poland,Polonia,2015,Business enterprise sector,0.46,POL
Portugal,Portugal,2015,Business enterprise sector,0.58,PRT
Romania,Rumanía,2015,Business enterprise sector,0.21,ROU
Slovenia,Eslovenia,2015,Business enterprise sector,1.69,SVN
Slovakia,Eslovaquia,2015,Business enterprise sector,0.32,SVK
Finland,Finlandia,2015,Business enterprise sector,1.93,FIN
Sweden,Suecia,2015,Business enterprise sector,2.26,SWE
Iceland,Islandia,2015,Business enterprise sector,1.44,ISL
Norway,Noruega,2015,Business enterprise sector,1.04,NOR
Switzerland,Suiza,2015,Business enterprise sector,2.09,CHE
United Kingdom,Reino Unido,2015,Business enterprise sector,1.09,GBR
Montenegro,Montenegro,2015,Business enterprise sector,0.11,MNE
North Macedonia,Macedonia del Norte,2015,Business enterprise sector,0.08,MKD
Serbia,Serbia,2015,Business enterprise sector,0.25,SRB
Türkiye,Turquía,2015,Business enterprise sector,0.48,TUR
Russia,Rusia,2015,Business enterprise sector,0.65,RUS
United States,Estados Unidos,2015,Business enterprise sector,2.01,USA
China except Hong Kong,China (excepto Hong Kong),2015,Business enterprise sector,1.58,CHN
Japan,Japón,2015,Business enterprise sector,2.54,JPN
South Korea,Corea del Sur,2015,Business enterprise sector,2.94,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2016,Business enterprise sector,1.38,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2016,Business enterprise sector,1.38,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2016,Business enterprise sector,1.39,EMU
Belgium,Bélgica,2016,Business enterprise sector,1.74,BEL
Bulgaria,Bulgaria,2016,Business enterprise sector,0.56,BGR
Czechia,Chequia,2016,Business enterprise sector,1.01,CZE
Denmark,Dinamarca,2016,Business enterprise sector,2.02,DNK
Germany,Alemania,2016,Business enterprise sector,1.97,DEU
Estonia,Estonia,2016,Business enterprise sector,0.63,EST
Ireland,Irlanda,2016,Business enterprise sector,0.83,IRL
Greece,Grecia,2016,Business enterprise sector,0.42,GRC
Spain,España,2016,Business enterprise sector,0.63,ESP
France,Francia,2016,Business enterprise sector,1.45,FRA
Croatia,Croacia,2016,Business enterprise sector,0.39,HRV
Italy,Italia,2016,Business enterprise sector,0.83,ITA
Cyprus,Chipre,2016,Business enterprise sector,0.19,CYP
Latvia,Letonia,2016,Business enterprise sector,0.11,LVA
Lithuania,Lituania,2016,Business enterprise sector,0.3,LTU
Luxembourg,Luxemburgo,2016,Business enterprise sector,0.7,LUX
Hungary,Hungría,2016,Business enterprise sector,0.87,HUN
Malta,Malta,2016,Business enterprise sector,0.33,MLT
Netherlands,Países Bajos,2016,Business enterprise sector,1.39,NLD
Austria,Austria,2016,Business enterprise sector,2.2,AUT
Poland,Polonia,2016,Business enterprise sector,0.63,POL
Portugal,Portugal,2016,Business enterprise sector,0.62,PRT
Romania,Rumanía,2016,Business enterprise sector,0.27,ROU
Slovenia,Eslovenia,2016,Business enterprise sector,1.54,SVN
Slovakia,Eslovaquia,2016,Business enterprise sector,0.4,SVK
Finland,Finlandia,2016,Business enterprise sector,1.81,FIN
Sweden,Suecia,2016,Business enterprise sector,2.27,SWE
Iceland,Islandia,2016,Business enterprise sector,1.36,ISL
Norway,Noruega,2016,Business enterprise sector,1.08,NOR
United Kingdom,Reino Unido,2016,Business enterprise sector,1.11,GBR
Montenegro,Montenegro,2016,Business enterprise sector,0.05,MNE
North Macedonia,Macedonia del Norte,2016,Business enterprise sector,0.1,MKD
Serbia,Serbia,2016,Business enterprise sector,0.3,SRB
Türkiye,Turquía,2016,Business enterprise sector,0.56,TUR
United States,Estados Unidos,2016,Business enterprise sector,2.08,USA
China except Hong Kong,China (excepto Hong Kong),2016,Business enterprise sector,1.63,CHN
Japan,Japón,2016,Business enterprise sector,2.45,JPN
South Korea,Corea del Sur,2016,Business enterprise sector,2.94,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2017,Business enterprise sector,1.42,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2017,Business enterprise sector,1.43,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2017,Business enterprise sector,1.43,EMU
Belgium,Bélgica,2017,Business enterprise sector,1.88,BEL
Bulgaria,Bulgaria,2017,Business enterprise sector,0.52,BGR
Czechia,Chequia,2017,Business enterprise sector,1.1,CZE
Denmark,Dinamarca,2017,Business enterprise sector,1.86,DNK
Germany,Alemania,2017,Business enterprise sector,2.06,DEU
Estonia,Estonia,2017,Business enterprise sector,0.59,EST
Ireland,Irlanda,2017,Business enterprise sector,0.9,IRL
Greece,Grecia,2017,Business enterprise sector,0.56,GRC
Spain,España,2017,Business enterprise sector,0.66,ESP
France,Francia,2017,Business enterprise sector,1.44,FRA
Croatia,Croacia,2017,Business enterprise sector,0.41,HRV
Italy,Italia,2017,Business enterprise sector,0.85,ITA
Cyprus,Chipre,2017,Business enterprise sector,0.2,CYP
Latvia,Letonia,2017,Business enterprise sector,0.14,LVA
Lithuania,Lituania,2017,Business enterprise sector,0.33,LTU
Luxembourg,Luxemburgo,2017,Business enterprise sector,0.69,LUX
Hungary,Hungría,2017,Business enterprise sector,0.96,HUN
Malta,Malta,2017,Business enterprise sector,0.34,MLT
Netherlands,Países Bajos,2017,Business enterprise sector,1.42,NLD
Austria,Austria,2017,Business enterprise sector,2.15,AUT
Poland,Polonia,2017,Business enterprise sector,0.66,POL
Portugal,Portugal,2017,Business enterprise sector,0.67,PRT
Romania,Rumanía,2017,Business enterprise sector,0.29,ROU
Slovenia,Eslovenia,2017,Business enterprise sector,1.41,SVN
Slovakia,Eslovaquia,2017,Business enterprise sector,0.48,SVK
Finland,Finlandia,2017,Business enterprise sector,1.79,FIN
Sweden,Suecia,2017,Business enterprise sector,2.42,SWE
Iceland,Islandia,2017,Business enterprise sector,1.34,ISL
Norway,Noruega,2017,Business enterprise sector,1.1,NOR
Switzerland,Suiza,2017,Business enterprise sector,2.06,CHE
United Kingdom,Reino Unido,2017,Business enterprise sector,1.14,GBR
Montenegro,Montenegro,2017,Business enterprise sector,0.07,MNE
North Macedonia,Macedonia del Norte,2017,Business enterprise sector,0.09,MKD
Serbia,Serbia,2017,Business enterprise sector,0.31,SRB
Türkiye,Turquía,2017,Business enterprise sector,0.59,TUR
Russia,Rusia,2017,Business enterprise sector,0.67,RUS
United States,Estados Unidos,2017,Business enterprise sector,2.12,USA
China except Hong Kong,China (excepto Hong Kong),2017,Business enterprise sector,1.64,CHN
Japan,Japón,2017,Business enterprise sector,2.49,JPN
South Korea,Corea del Sur,2017,Business enterprise sector,3.23,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2018,Business enterprise sector,1.44,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2018,Business enterprise sector,1.46,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2018,Business enterprise sector,1.46,EMU
Belgium,Bélgica,2018,Business enterprise sector,2.05,BEL
Bulgaria,Bulgaria,2018,Business enterprise sector,0.54,BGR
Czechia,Chequia,2018,Business enterprise sector,1.16,CZE
Denmark,Dinamarca,2018,Business enterprise sector,1.88,DNK
Germany,Alemania,2018,Business enterprise sector,2.1,DEU
Estonia,Estonia,2018,Business enterprise sector,0.59,EST
Ireland,Irlanda,2018,Business enterprise sector,0.83,IRL
Greece,Grecia,2018,Business enterprise sector,0.58,GRC
Spain,España,2018,Business enterprise sector,0.7,ESP
France,Francia,2018,Business enterprise sector,1.44,FRA
Croatia,Croacia,2018,Business enterprise sector,0.45,HRV
Italy,Italia,2018,Business enterprise sector,0.9,ITA
Cyprus,Chipre,2018,Business enterprise sector,0.25,CYP
Latvia,Letonia,2018,Business enterprise sector,0.16,LVA
Lithuania,Lituania,2018,Business enterprise sector,0.39,LTU
Luxembourg,Luxemburgo,2018,Business enterprise sector,0.62,LUX
Hungary,Hungría,2018,Business enterprise sector,1.14,HUN
Malta,Malta,2018,Business enterprise sector,0.34,MLT
Netherlands,Países Bajos,2018,Business enterprise sector,1.4,NLD
Austria,Austria,2018,Business enterprise sector,2.17,AUT
Poland,Polonia,2018,Business enterprise sector,0.79,POL
Portugal,Portugal,2018,Business enterprise sector,0.69,PRT
Romania,Rumanía,2018,Business enterprise sector,0.29,ROU
Slovenia,Eslovenia,2018,Business enterprise sector,1.46,SVN
Slovakia,Eslovaquia,2018,Business enterprise sector,0.45,SVK
Finland,Finlandia,2018,Business enterprise sector,1.82,FIN
Sweden,Suecia,2018,Business enterprise sector,2.37,SWE
Iceland,Islandia,2018,Business enterprise sector,1.29,ISL
Norway,Noruega,2018,Business enterprise sector,1.05,NOR
United Kingdom,Reino Unido,2018,Business enterprise sector,1.17,GBR
Montenegro,Montenegro,2018,Business enterprise sector,0.19,MNE
North Macedonia,Macedonia del Norte,2018,Business enterprise sector,0.11,MKD
Serbia,Serbia,2018,Business enterprise sector,0.34,SRB
Türkiye,Turquía,2018,Business enterprise sector,0.67,TUR
Russia,Rusia,2018,Business enterprise sector,0.55,RUS
United States,Estados Unidos,2018,Business enterprise sector,2.22,USA
China except Hong Kong,China (excepto Hong Kong),2018,Business enterprise sector,1.66,CHN
Japan,Japón,2018,Business enterprise sector,2.56,JPN
South Korea,Corea del Sur,2018,Business enterprise sector,3.43,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2019,Business enterprise sector,1.47,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2019,Business enterprise sector,1.49,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2019,Business enterprise sector,1.49,EMU
Belgium,Bélgica,2019,Business enterprise sector,2.32,BEL
Bulgaria,Bulgaria,2019,Business enterprise sector,0.56,BGR
Czechia,Chequia,2019,Business enterprise sector,1.17,CZE
Denmark,Dinamarca,2019,Business enterprise sector,1.85,DNK
Germany,Alemania,2019,Business enterprise sector,2.15,DEU
Estonia,Estonia,2019,Business enterprise sector,0.85,EST
Ireland,Irlanda,2019,Business enterprise sector,0.9,IRL
Greece,Grecia,2019,Business enterprise sector,0.58,GRC
Spain,España,2019,Business enterprise sector,0.7,ESP
France,Francia,2019,Business enterprise sector,1.45,FRA
Croatia,Croacia,2019,Business enterprise sector,0.53,HRV
Italy,Italia,2019,Business enterprise sector,0.92,ITA
Cyprus,Chipre,2019,Business enterprise sector,0.3,CYP
Latvia,Letonia,2019,Business enterprise sector,0.17,LVA
Lithuania,Lituania,2019,Business enterprise sector,0.43,LTU
Luxembourg,Luxemburgo,2019,Business enterprise sector,0.64,LUX
Hungary,Hungría,2019,Business enterprise sector,1.1,HUN
Malta,Malta,2019,Business enterprise sector,0.34,MLT
Netherlands,Países Bajos,2019,Business enterprise sector,1.43,NLD
Austria,Austria,2019,Business enterprise sector,2.21,AUT
Poland,Polonia,2019,Business enterprise sector,0.82,POL
Portugal,Portugal,2019,Business enterprise sector,0.73,PRT
Romania,Rumanía,2019,Business enterprise sector,0.27,ROU
Slovenia,Eslovenia,2019,Business enterprise sector,1.52,SVN
Slovakia,Eslovaquia,2019,Business enterprise sector,0.45,SVK
Finland,Finlandia,2019,Business enterprise sector,1.85,FIN
Sweden,Suecia,2019,Business enterprise sector,2.44,SWE
Iceland,Islandia,2019,Business enterprise sector,1.61,ISL
Norway,Noruega,2019,Business enterprise sector,1.13,NOR
Switzerland,Suiza,2019,Business enterprise sector,2.16,CHE
United Kingdom,Reino Unido,2019,Business enterprise sector,1.19,GBR
Bosnia and Herzegovina,Bosnia y Herzegovina,2019,Business enterprise sector,0.07,BIH
Montenegro,Montenegro,2019,Business enterprise sector,0.05,MNE
North Macedonia,Macedonia del Norte,2019,Business enterprise sector,0.1,MKD
Serbia,Serbia,2019,Business enterprise sector,0.34,SRB
Türkiye,Turquía,2019,Business enterprise sector,0.74,TUR
Russia,Rusia,2019,Business enterprise sector,0.63,RUS
United States,Estados Unidos,2019,Business enterprise sector,2.36,USA
China except Hong Kong,China (excepto Hong Kong),2019,Business enterprise sector,1.72,CHN
Japan,Japón,2019,Business enterprise sector,2.55,JPN
South Korea,Corea del Sur,2019,Business enterprise sector,3.5,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2020,Business enterprise sector,1.5,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2020,Business enterprise sector,1.51,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2020,Business enterprise sector,1.52,EMU
Belgium,Bélgica,2020,Business enterprise sector,2.49,BEL
Bulgaria,Bulgaria,2020,Business enterprise sector,0.57,BGR
Czechia,Chequia,2020,Business enterprise sector,1.19,CZE
Denmark,Dinamarca,2020,Business enterprise sector,1.83,DNK
Germany,Alemania,2020,Business enterprise sector,2.06,DEU
Estonia,Estonia,2020,Business enterprise sector,0.95,EST
Ireland,Irlanda,2020,Business enterprise sector,0.89,IRL
Greece,Grecia,2020,Business enterprise sector,0.69,GRC
Spain,España,2020,Business enterprise sector,0.78,ESP
France,Francia,2020,Business enterprise sector,1.49,FRA
Croatia,Croacia,2020,Business enterprise sector,0.59,HRV
Italy,Italia,2020,Business enterprise sector,0.93,ITA
Cyprus,Chipre,2020,Business enterprise sector,0.37,CYP
Latvia,Letonia,2020,Business enterprise sector,0.26,LVA
Lithuania,Lituania,2020,Business enterprise sector,0.53,LTU
Luxembourg,Luxemburgo,2020,Business enterprise sector,0.55,LUX
Hungary,Hungría,2020,Business enterprise sector,1.21,HUN
Malta,Malta,2020,Business enterprise sector,0.38,MLT
Netherlands,Países Bajos,2020,Business enterprise sector,1.51,NLD
Austria,Austria,2020,Business enterprise sector,2.23,AUT
Poland,Polonia,2020,Business enterprise sector,0.86,POL
Portugal,Portugal,2020,Business enterprise sector,0.92,PRT
Romania,Rumanía,2020,Business enterprise sector,0.27,ROU
Slovenia,Eslovenia,2020,Business enterprise sector,1.58,SVN
Slovakia,Eslovaquia,2020,Business enterprise sector,0.48,SVK
Finland,Finlandia,2020,Business enterprise sector,1.96,FIN
Sweden,Suecia,2020,Business enterprise sector,2.53,SWE
Iceland,Islandia,2020,Business enterprise sector,1.69,ISL
Norway,Noruega,2020,Business enterprise sector,1.22,NOR
Bosnia and Herzegovina,Bosnia y Herzegovina,2020,Business enterprise sector,0.08,BIH
North Macedonia,Macedonia del Norte,2020,Business enterprise sector,0.1,MKD
Serbia,Serbia,2020,Business enterprise sector,0.34,SRB
Türkiye,Turquía,2020,Business enterprise sector,0.76,TUR
United States,Estados Unidos,2020,Business enterprise sector,2.6,USA
China except Hong Kong,China (excepto Hong Kong),2020,Business enterprise sector,1.84,CHN
Japan,Japón,2020,Business enterprise sector,2.57,JPN
South Korea,Corea del Sur,2020,Business enterprise sector,3.58,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2021,Business enterprise sector,1.48,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2021,Business enterprise sector,1.49,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2021,Business enterprise sector,1.49,EMU
Belgium,Bélgica,2021,Business enterprise sector,2.54,BEL
Bulgaria,Bulgaria,2021,Business enterprise sector,0.51,BGR
Czechia,Chequia,2021,Business enterprise sector,1.21,CZE
Denmark,Dinamarca,2021,Business enterprise sector,1.7,DNK
Germany,Alemania,2021,Business enterprise sector,2.06,DEU
Estonia,Estonia,2021,Business enterprise sector,0.98,EST
Ireland,Irlanda,2021,Business enterprise sector,0.86,IRL
Greece,Grecia,2021,Business enterprise sector,0.67,GRC
Spain,España,2021,Business enterprise sector,0.78,ESP
France,Francia,2021,Business enterprise sector,1.45,FRA
Croatia,Croacia,2021,Business enterprise sector,0.58,HRV
Italy,Italia,2021,Business enterprise sector,0.85,ITA
Cyprus,Chipre,2021,Business enterprise sector,0.33,CYP
Latvia,Letonia,2021,Business enterprise sector,0.29,LVA
Lithuania,Lituania,2021,Business enterprise sector,0.54,LTU
Luxembourg,Luxemburgo,2021,Business enterprise sector,0.53,LUX
Hungary,Hungría,2021,Business enterprise sector,1.23,HUN
Malta,Malta,2021,Business enterprise sector,0.39,MLT
Netherlands,Países Bajos,2021,Business enterprise sector,1.46,NLD
Austria,Austria,2021,Business enterprise sector,2.24,AUT
Poland,Polonia,2021,Business enterprise sector,0.89,POL
Portugal,Portugal,2021,Business enterprise sector,0.99,PRT
Romania,Rumanía,2021,Business enterprise sector,0.28,ROU
Slovenia,Eslovenia,2021,Business enterprise sector,1.57,SVN
Slovakia,Eslovaquia,2021,Business enterprise sector,0.5,SVK
Finland,Finlandia,2021,Business enterprise sector,2.07,FIN
Sweden,Suecia,2021,Business enterprise sector,2.47,SWE
Iceland,Islandia,2021,Business enterprise sector,1.99,ISL
Norway,Noruega,2021,Business enterprise sector,1.02,NOR
Switzerland,Suiza,2021,Business enterprise sector,2.25,CHE
Bosnia and Herzegovina,Bosnia y Herzegovina,2021,Business enterprise sector,0.07,BIH
Serbia,Serbia,2021,Business enterprise sector,0.43,SRB
Türkiye,Turquía,2021,Business enterprise sector,0.86,TUR
United States,Estados Unidos,2021,Business enterprise sector,2.71,USA
China except Hong Kong,China (excepto Hong Kong),2021,Business enterprise sector,1.87,CHN
Japan,Japón,2021,Business enterprise sector,2.57,JPN
South Korea,Corea del Sur,2021,Business enterprise sector,3.64,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2022,Business enterprise sector,1.47,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2022,Business enterprise sector,1.48,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2022,Business enterprise sector,1.49,EMU
Belgium,Bélgica,2022,Business enterprise sector,2.43,BEL
Bulgaria,Bulgaria,2022,Business enterprise sector,0.51,BGR
Czechia,Chequia,2022,Business enterprise sector,1.21,CZE
Denmark,Dinamarca,2022,Business enterprise sector,1.76,DNK
Germany,Alemania,2022,Business enterprise sector,2.07,DEU
